"collection_id"	"leap01_id"	"dataset_id"	"subjectkey"	"src_subject_id"	"interview_age"	"interview_date"	"sex"	"lan_know"	"lan11"	"lan12"	"lan13"	"lan14"	"lan15"	"lan21"	"lan22"	"lan23"	"lan24"	"lan25"	"lan31"	"lan32"	"lan33"	"lan34"	"lan35"	"lan3err"	"lan41"	"lan42"	"lan43"	"lan44"	"lan45"	"lan4err"	"lan511"	"lan512"	"lan513"	"lan514"	"lan521"	"lan522"	"lan523"	"lan524"	"lan531"	"lan532"	"lan533"	"lan534"	"lan541"	"lan542"	"lan543"	"lan544"	"lan_541"	"lan_542"	"lan_543"	"lan_544"	"lan611"	"lan612"	"lan613"	"lan621"	"lan622"	"lan623"	"lan631"	"lan632"	"lan633"	"lan641"	"lan642"	"lan643"	"lan_641"	"lan_642"	"lan_643"	"lan71"	"lan72"	"lan73"	"lan74"	"lan75"	"lan81"	"lan82"	"lan83"	"lan84"	"lan85"	"lan_1"	"lan_2"	"lan_3"	"lan_4"	"lan_5"	"lan_6"	"lan_7"	"lan_8"	"lan_9"	"lan_10"	"lan_11"	"lan_12"	"lan_13"	"lan_14"	"lan_15"	"lan_16"	"educat"	"lan_18"	"demo_edu_other"	"lan_20"	"lan_21"	"lan_22"	"lan_23"	"lan_24"	"lan_25"	"lan_26"	"lan_27"	"lan_28"	"lan_29"	"lan_30"	"lan_31"	"lan_32"	"lan_33"	"lan_34"	"lan_35"	"lan_36"	"lan_37"	"lan_38"	"lan_39"	"lan_40"	"lan_41"	"lan_42"	"lan_43"	"lan_44"	"lan_45"	"lan_46"	"lan_47"	"lan_48"	"lan_49"	"lan_50"	"lan_51"	"lan_52"	"lan_53"	"lan_54"	"lan_55"	"lan_56"	"lan_57"	"lan_58"	"lan_59"	"lan_60"	"lan_61"	"lan_62"	"lan_63"	"lan_64"	"lan_65"	"lan_66"	"lan_67"	"lan_68"	"lan_69"	"lan_70"	"lan_71"	"lan_72"	"lan_73"	"lan_74"	"lan_75"	"lan_76"	"lan_77"	"lan_78"	"lan_79"	"lan_80"	"lan_81"	"lan_82"	"lan_83"	"lan_84"	"lan_85"	"lan_86"	"lan_87"	"lan_88"	"lan_89"	"lan_90"	"lan_91"	"lan_92"	"lan_93"	"lan_94"	"lan_95"	"lan_96"	"lan_97"	"lan_98"	"lan_99"	"lan_100"	"lan_101"	"lan_102"	"lan_103"	"lan_104"	"lan_105"	"lan_106"	"lan_107"	"lan_108"	"lan_109"	"lan_110"	"lan_111"	"lan_112"	"lan_113"	"lan_114"	"lan_115"	"lan_116"	"lan_117"	"lan_118"	"lan_119"	"lan_120"	"lan_121"	"lan_122"	"lan_123"	"lan_124"	"lan_125"	"lan_126"	"lan_127"	"lan_128"	"lan_129"	"lan_130"	"lan_131"	"lan_132"	"lan_133"	"comqother"	"collection_title"
"2847"	"14810"	"37672"	"NDAR_INVRA756UKW"	"HCA9986825"	"1038"	"01/01/2019"	"F"	"3"	"English"	"Spanish"	"German"	""	""	"English"	"German"	"Spanish"	""	""	"100"	"0"	"0"	""	""	"100"	"100"	"0"	"0"	""	""	"100"	"0.0"	"5.0"	"3.0"	"4.0"	"15.0"	"17.0"	"15.0"	"999.0"	"0.0"	"5.0"	"3.0"	"4.0"	""	""	""	""	""	""	""	""	"10"	"10"	"10"	"5"	"1"	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"0"	"2"	"2"	""	""	"0"	"10"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14853"	"37672"	"NDAR_INVZH129TFD"	"HCA6086470"	"486"	"01/01/2018"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14858"	"37672"	"NDAR_INVLE836KTF"	"HCA6660880"	"498"	"04/01/2018"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14870"	"37672"	"NDAR_INVDX955UZ3"	"HCA7884605"	"572"	"07/01/2017"	"M"	"2"	"French"	"English"	""	""	""	"French"	"English"	""	""	""	"15"	"85"	""	""	""	"100"	"5"	"95"	""	""	""	"100"	"1.0"	"5.0"	"5.0"	"6.0"	"12.0"	"33.0"	"12.0"	"22.0"	""	""	""	""	""	""	""	""	""	""	""	""	"10"	"10"	"10"	"9"	"10"	"10"	""	""	""	""	""	""	""	""	""	"0"	"4"	""	""	""	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14265"	"37672"	"NDAR_INVFB190GM0"	"HCA7543578"	"644"	"04/01/2018"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14267"	"37672"	"NDAR_INVTR398KRC"	"HCA6963696"	"869"	"07/01/2019"	"F"	"2"	"Spanish"	"English"	""	""	""	"Spanish"	"English"	""	""	""	"60"	"40"	""	""	""	"100"	"50"	"50"	""	""	""	"100"	"1.0"	"3.0"	"6.0"	"8.0"	"12.0"	"14.0"	"13.0"	"14.0"	""	""	""	""	""	""	""	""	""	""	""	""	"10"	"10"	"10"	"9"	"10"	"10"	""	""	""	""	""	""	""	""	""	"4"	"5"	""	""	""	"0"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14430"	"37672"	"NDAR_INVDH684BWD"	"HCA8033560"	"1012"	"07/01/2018"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14443"	"37672"	"NDAR_INVXR145AAX"	"HCA8511671"	"484"	"10/01/2018"	"M"	"2"	"English"	"Spanish"	""	""	""	"English"	"Spanish"	""	""	""	"80"	"5"	""	""	""	"85"	"75"	"25"	""	""	""	"100"	"2.0"	"5.0"	"5.0"	"7.0"	"14.0"	"16.0"	"14.0"	"16.0"	""	""	""	""	""	""	""	""	""	""	""	""	"8"	"9"	"9"	"4"	"4"	"5"	""	""	""	""	""	""	""	""	""	"0"	"8"	""	""	""	"0"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14794"	"37672"	"NDAR_INVJJ962GMX"	"HCA7604067"	"1200"	"01/01/2019"	"M"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14780"	"37672"	"NDAR_INVNP175EUU"	"HCA7245267"	"1029"	"10/01/2018"	"M"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14781"	"37672"	"NDAR_INVJY726ZXN"	"HCA9096690"	"589"	"10/01/2018"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14245"	"37672"	"NDAR_INVRE447VPU"	"HCA6326767"	"593"	"01/01/2018"	"M"	"2"	"Chinese"	"English"	""	""	""	"Chinese"	"English"	""	""	""	"10"	"90"	""	""	""	"100"	"90"	"10"	""	""	""	"100"	"1.0"	"3.0"	"6.0"	"8.0"	"10.0"	"30.0"	"10.0"	"30.0"	""	""	""	""	""	""	""	""	""	""	""	""	"9"	"9"	"9"	"6"	"7"	"6"	""	""	""	""	""	""	""	""	""	"3"	"7"	""	""	""	"5"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14603"	"37672"	"NDAR_INVFN490KPE"	"HCA9745500"	"572"	"01/01/2019"	"M"	"2"	"English"	"Latin"	""	""	""	"English"	"Latin"	""	""	""	"99"	"1"	""	""	""	"100"	"100"	"0"	""	""	""	"100"	"1.0"	"3.0"	"3.0"	"5.0"	"14.0"	"18.0"	"14.0"	"16.0"	""	""	""	""	""	""	""	""	""	""	""	""	"10"	"10"	"10"	"7"	"6"	"9"	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	""	"0"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14670"	"37672"	"NDAR_INVDZ443JLC"	"HCA6562577"	"872"	"04/01/2017"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14354"	"37672"	"NDAR_INVYL640MT3"	"HCA6131449"	"802"	"07/01/2017"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14370"	"37672"	"NDAR_INVPZ991TJ6"	"HCA8435277"	"935"	"10/01/2017"	"M"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14638"	"37672"	"NDAR_INVGJ397CGD"	"HCA6771081"	"790"	"04/01/2017"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14825"	"37672"	"NDAR_INVUL306PHZ"	"HCA7124659"	"1067"	"04/01/2019"	"M"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14833"	"37672"	"NDAR_INVZB793JL7"	"HCA6741173"	"966"	"04/01/2019"	"M"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14236"	"37672"	"NDAR_INVZT300RKB"	"HCA6471675"	"451"	"01/01/2018"	"F"	"2"	"English"	"Filipino"	""	""	""	"Filipino"	"English"	""	""	""	"50"	"50"	""	""	""	"100"	"20"	"80"	""	""	""	"100"	"3.0"	"5.0"	"4.0"	"6.0"	"1.0"	"3.0"	"6.0"	"7.0"	""	""	""	""	""	""	""	""	""	""	""	""	"10"	"10"	"10"	"10"	"10"	"10"	""	""	""	""	""	""	""	""	""	"2"	"0"	""	""	""	"3"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14246"	"37672"	"NDAR_INVAV051ZWK"	"HCA7192777"	"735"	"01/01/2018"	"F"	"2"	"English"	"Chinese dialect"	""	""	""	"Chinese dialect"	"English"	""	""	""	"100"	"0"	""	""	""	"100"	"100"	"0"	""	""	""	"100"	"4.0"	"5.0"	"5.0"	"7.0"	"1.0"	"2.0"	"999.0"	"999.0"	""	""	""	""	""	""	""	""	""	""	""	""	"9"	"9"	"9"	"7"	"7"	"0"	""	""	""	""	""	""	""	""	""	"0"	"2"	""	""	""	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14282"	"37672"	"NDAR_INVMB187PVF"	"HCA7995311"	"664"	"10/01/2018"	"F"	"2"	"English"	"Spanish"	""	""	""	"English"	"Spanish"	""	""	""	"80"	"20"	""	""	""	"100"	"80"	"20"	""	""	""	"100"	"3.0"	"4.0"	"5.0"	"8.0"	"5.0"	"7.0"	"25.0"	"999.0"	""	""	""	""	""	""	""	""	""	""	""	""	"10"	"10"	"9"	"8"	"7"	"2"	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	""	"2"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14425"	"37672"	"NDAR_INVVW179CHB"	"HCA6464678"	"489"	"04/01/2018"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
